,base asset,compare asset,label
188,BIS,TUR,0
343,DAPP,SKYU,0
342,DAPP,QQQH,0
2810,SMH,TQQQ,0
190,BITS,SKYU,0
2378,PGJ,UCYB,0
2377,PGJ,TUR,0
2376,PGJ,TQQQ,0
2375,PGJ,SPRX,0
2374,PGJ,SOXQ,0
2373,PGJ,SMH,0
2372,PGJ,SKYU,0
2371,PGJ,SARK,0
2370,PGJ,RING,0
2369,PGJ,QQQH,0
202,BTF,TQQQ,0
201,BTF,SPRX,0
200,BTF,SOXQ,0
198,BKCH,TQQQ,0
197,BKCH,SPRX,0
196,BKCH,SKYU,0
195,BKCH,QQQH,0
194,BKCH,BTF,0
193,BITS,UCYB,0
192,BITS,TQQQ,0
191,BITS,SPRX,0
344,DAPP,SPRX,0
345,DAPP,UCYB,0
189,BITS,QQQH,0
1855,IUS,PRN,1
1951,JSMD,PNQI,1
1952,JSMD,PPI,1
1953,JSMD,PRN,1
1954,JSMD,PSET,1
1955,JSMD,PSL,1
1956,JSMD,PTF,1
1957,JSMD,PTNQ,1
1950,JSMD,PKW,1
1958,JSMD,PY,1
1960,JSMD,QQMG,1
1961,JSMD,QQQ,1
1962,JSMD,QQQM,1
1963,JSMD,QTR,1
1964,JSMD,QYLD,1
1965,JSMD,QYLG,1
1966,JSMD,RDVY,1
1959,JSMD,QCLR,1
1967,JSMD,RTH,1
1949,JSMD,PFM,1
1947,JSMD,OPPJ,1
1931,IUSV,XOVR,1
1932,IVAL,OPPJ,1
1933,IVAL,RFDI,1
1934,IVAL,RNEM,1
1935,IXUS,KBWP,1
1936,IXUS,PID,1
1937,IXUS,RFDI,1
1948,JSMD,PDP,1
1938,IXUS,VXUS,1
1940,JSMD,KBWP,1
1941,JSMD,KNGZ,1
1942,JSMD,KRMA,1
1943,JSMD,LEXI,1
1944,JSMD,MDIV,1
1945,JSMD,NZAC,1
1946,JSMD,ONEQ,1
1939,IXUS,VYMI,1
1930,IUSV,VIGI,1
1968,JSMD,SDVY,1
1970,JSMD,SPBC,1
1981,JSMD,VSMV,1
1982,JSMD,VTHR,1
1983,JSMD,XOVR,1
1984,JSMD,YLDE,1
1837,ISHP,SIXG,1
1836,ISHP,RTH,1
1835,ISHP,RDVY,1
1838,ISHP,SPBC,1
1985,KBWP,KRMA,1
1833,ISHP,PSL,1
1832,ISHP,PID,1
1831,ISHP,MDIV,1
1830,ISHP,KBWP,1
1829,IPKW,RFDI,1
1828,IPKW,PIZ,1
